index,id,title,duration,duration_min,url,is_short_duration_le_60,categories
129,iOAMHTZw0SM,"우리집 고양이, 나랑 대화하려고 목소리를 바꾼다고?",355.0,5.92,https://www.youtube.com/watch?v=iOAMHTZw0SM,False,생활/돌봄
130,c0ZqjVeVfvI,"나랑 살아서 행복한지 불행한지 궁금해요, 정답 알려드림",467.0,7.78,https://www.youtube.com/watch?v=c0ZqjVeVfvI,False,건강/진료
131,XH9gT8hFbs0,잘먹는 고양이는 볼 필요없는 영상 (입짧은 고양이 대처법),590.0,9.83,https://www.youtube.com/watch?v=XH9gT8hFbs0,False,기타/엔터테인먼트
132,tm1Wd7CHWBs,최악의 보호자에게 유기된 고양이가 보인 반응...역대급 고양이진료 1위들,412.0,6.87,https://www.youtube.com/watch?v=tm1Wd7CHWBs,False,건강/진료;생활/돌봄
133,G3OgUmv8Zmk,돈이 2배 이상 들어도 고양이 한 마리는 싫은 이유 | 미야옹서베이,637.0,10.62,https://www.youtube.com/watch?v=G3OgUmv8Zmk,False,기타/엔터테인먼트
134,9Uj3vU8J6XA,고양이 수염을 만지면 나타나는 신기한 반응,432.0,7.2,https://www.youtube.com/watch?v=9Uj3vU8J6XA,False,기타/엔터테인먼트
135,S8NvM3FHmdk,사랑둥이 털손주 덕배에게 전화가 왔다,531.0,8.85,https://www.youtube.com/watch?v=S8NvM3FHmdk,False,기타/엔터테인먼트
136,wF4mJ7FQspM,착한 그루밍과 나쁜 그루밍,431.0,7.18,https://www.youtube.com/watch?v=wF4mJ7FQspM,False,기타/엔터테인먼트
137,m_LfcrM3t-A,사냥놀이 학원이나 클래스가 있으면 수강하고 싶을 정도입니다 [실전편],663.0,11.05,https://www.youtube.com/watch?v=m_LfcrM3t-A,False,생활/돌봄
138,RyQdNeCbqY0,"고양이 산책해도 됩니다 단, 이 영상은 꼭 보세요!",636.0,10.6,https://www.youtube.com/watch?v=RyQdNeCbqY0,False,기타/엔터테인먼트
139,QjKXFOj51QQ,고양이가 나를 엄마로 생각할 때와 동료로 생각할 때의 결정적인 차이,525.0,8.75,https://www.youtube.com/watch?v=QjKXFOj51QQ,False,기타/엔터테인먼트
140,jUx5hhq4Acs,고양이 안 키워본 사람은 절대 모르는 것,671.0,11.18,https://www.youtube.com/watch?v=jUx5hhq4Acs,False,기타/엔터테인먼트
141,2lTRdIzL7so,물리기 전에 피하는 법ㅣ집사메이커 lv.10,267.0,4.45,https://www.youtube.com/watch?v=2lTRdIzL7so,False,생활/돌봄
142,uM4Y5yDM-IA,밤만 되면 우는 고양이🌘🌜,542.0,9.03,https://www.youtube.com/watch?v=uM4Y5yDM-IA,False,기타/엔터테인먼트
143,AlupTkiLCA0,나도 모르게 고양이를 불행하게 만드는 행동,479.0,7.98,https://www.youtube.com/watch?v=AlupTkiLCA0,False,행동/감정
144,Sssx7Jz_IHg,수의사가 알려주는 고양이 사냥놀이 [이론편],644.0,10.73,https://www.youtube.com/watch?v=Sssx7Jz_IHg,False,건강/진료;생활/돌봄
145,5ukjoDcSz7M,건강한 고양이는 아기 때 완성된다?(아깽이 얘기만 계속합니다),713.0,11.88,https://www.youtube.com/watch?v=5ukjoDcSz7M,False,건강/진료;브이로그/서사
